,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
30,31,Terry Rozier,CHA,40,35.7,21.5,8.1,19.5,41.3,2.7,8.1,33.5,2.7,3.3,82.3,1.0,3.2,4.2,5.1,1.0,0.2,2.3,17.6
31,32,Bojan Bogdanovic,DET,47,31.4,21.3,7.1,14.7,48.6,2.5,5.9,41.7,4.5,5.1,88.0,0.6,3.1,3.7,2.7,0.6,0.1,2.2,18.0
32,33,CJ McCollum,NOP,44,35.1,21.2,7.9,18.5,43.0,3.0,7.7,38.9,2.4,3.0,78.2,0.8,3.7,4.5,5.8,1.0,0.6,2.7,19.2
33,34,Jerami Grant,POR,46,35.7,21.2,7.3,14.9,48.8,2.4,5.7,42.4,4.2,5.3,79.6,1.0,3.3,4.3,2.4,0.9,0.8,1.8,19.0
34,35,Jordan Clarkson,UTA,50,32.5,21.0,7.6,16.8,45.2,2.7,7.6,35.1,3.2,3.8,82.3,1.1,2.8,3.9,4.3,0.5,0.2,2.9,17.2
35,36,Jordan Poole,GSW,49,30.6,21.0,7.1,16.3,43.9,2.6,8.0,32.1,4.1,4.7,87.0,0.4,2.3,2.8,4.3,0.9,0.2,3.4,16.0
36,37,Klay Thompson,GSW,38,32.3,20.9,7.6,18.2,41.8,4.1,10.3,39.3,1.7,1.9,88.9,0.7,3.2,3.9,2.4,0.6,0.4,1.7,15.8
37,38,Dejounte Murray,ATL,44,36.6,20.9,8.4,18.3,46.1,2.0,5.6,35.9,2.1,2.5,84.3,0.7,4.7,5.4,6.0,1.6,0.3,2.4,21.7
38,39,Paolo Banchero,ORL,42,33.8,20.7,6.7,15.3,43.5,1.4,4.3,31.5,6.0,7.9,76.3,1.0,5.3,6.3,3.7,1.0,0.5,2.9,18.9
39,40,RJ Barrett,NYK,44,34.8,20.2,7.0,16.3,43.1,1.9,5.5,33.9,4.3,5.6,75.7,0.9,4.5,5.4,2.8,0.5,0.2,2.3,16.1
